time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-21T06:12:55.997Z,48.7634,-129.0865,10,4.5,mwr,,147,0.804,0.69,us,us7000fd2r,2021-12-03T15:01:40.040Z,"236 km WSW of Tofino, Canada",earthquake,7.8,2,,,reviewed,us,pgc
2020-12-25T17:13:47.265Z,50.6013,-130.1077,10,4.7,mwr,,125,1.258,1.01,us,us6000d2zn,2021-03-09T18:33:28.040Z,"213 km W of Port McNeill, Canada",earthquake,4.4,1.6,0.089,12,reviewed,us,us
2020-10-05T10:47:32.257Z,47.5671,-128.9743,10,4.6,mwr,,107,1.824,0.97,us,us6000c5n5,2020-12-12T22:28:40.040Z,"287 km SW of Tofino, Canada",earthquake,6.7,1.7,,,reviewed,us,pgc
2020-07-22T11:33:24.746Z,49.0995,-129.0303,10,5,mwr,,79,1.648,0.68,us,us7000at13,2020-10-04T17:50:53.470Z,"216 km SW of Port McNeill, Canada",earthquake,6.7,1.8,0.056,31,reviewed,us,us
2020-05-23T02:14:51.372Z,50.4322,-129.5266,10,5.2,mww,,142,0.913,0.95,us,us70009nx6,2020-08-08T18:17:52.040Z,"173 km W of Port McNeill, Canada",earthquake,3.4,1.8,0.037,69,reviewed,us,us
2020-05-10T04:46:01.644Z,49.5422,-127.6367,10,4.8,mwr,,134,1.144,1.27,us,us70009dld,2020-07-29T22:14:26.040Z,"106 km WSW of Vernon, Canada",earthquake,5.3,1.8,,,reviewed,us,pgc
2020-02-14T11:17:05.412Z,51.5494,-130.9734,10,4.6,mwr,,152,0.757,1.06,us,us70007pya,2020-05-02T22:09:49.040Z,"292 km WNW of Port McNeill, Canada",earthquake,6.2,1.9,0.068,21,reviewed,us,us
2020-01-24T21:35:29.100Z,48.5488,-125.1845,10,4.5,mwr,,57,0.286,1.16,us,us60007f42,2020-04-11T18:20:45.040Z,"46 km WNW of Neah Bay, Washington",earthquake,3.6,1.8,0.05,39,reviewed,us,us
2020-01-08T20:20:41.902Z,50.9158,-129.9784,10,4.6,mwr,,151,1.203,0.51,us,us70006wis,2020-04-02T21:27:53.040Z,"207 km W of Port McNeill, Canada",earthquake,7.9,1.9,,,reviewed,us,pgc
2019-12-25T20:38:52.559Z,50.9158,-130.2782,10,4.5,mb,,148,1.389,1.34,us,us70006r1m,2020-03-14T22:24:43.040Z,"228 km W of Port McNeill, Canada",earthquake,5.8,1.9,0.032,280,reviewed,us,us
2019-12-25T03:36:01.626Z,50.6106,-129.963,6.58,6.3,mww,,77,1.853,0.67,us,us70006qt7,2020-03-14T22:25:03.040Z,"203 km W of Port McNeill, Canada",earthquake,7.2,1.3,0.032,95,reviewed,us,us
2019-12-23T23:38:28.951Z,50.6964,-129.7652,10,4.9,mwr,,138,1.04,0.74,us,us70006qcr,2020-03-07T17:47:54.040Z,"Vancouver Island, Canada region",earthquake,5.4,1.9,,,reviewed,us,pgc
2019-12-23T20:56:23.555Z,50.5169,-129.7573,10,6,mww,,99,1.042,1.05,us,us70006q96,2020-03-07T17:47:53.040Z,"189 km W of Port McNeill, Canada",earthquake,5.7,1.8,0.038,66,reviewed,us,us
2019-12-23T19:49:43.086Z,50.6071,-129.9372,10,6,mww,,100,1.149,1.06,us,us70006q8n,2020-03-07T17:47:53.040Z,"201 km W of Port McNeill, Canada",earthquake,4.4,1.8,0.03,106,reviewed,us,us
2019-12-23T19:13:25.075Z,50.543,-129.8328,10,5.7,mww,,116,1.087,0.93,us,us70006q8f,2020-03-07T17:47:52.040Z,"194 km W of Port McNeill, Canada",earthquake,3.3,1.7,0.032,92,reviewed,us,us
2019-12-23T16:44:13.789Z,50.5667,-129.7193,10,5.2,mww,,147,1.907,0.59,us,us70006q6p,2020-03-07T17:47:51.040Z,"186 km W of Port McNeill, Canada",earthquake,2.4,1.9,0.039,62,reviewed,us,us
2019-11-09T18:58:41.133Z,52.7482,-132.3173,15.48,4.6,mwr,,114,0.449,1.22,us,us600069rt,2020-02-01T23:22:12.040Z,"218 km SW of Prince Rupert, Canada",earthquake,4.4,3.8,,,reviewed,us,pgc
2019-07-12T09:51:38.340Z,47.87283333,-122.0163333,28.82,4.58,ml,75,37,,0.44,uw,uw61535372,2020-12-16T03:06:17.822Z,"2 km S of Roosevelt, Washington",earthquake,0.53,0.88,0.175257669,49,reviewed,uw,uw
